Player,09/09vs. LAC,09/16vs. PIT,09/23vs. SFO,10/01vs. DEN,10/07vs. JAX,10/14vs. NWE,10/21vs. CIN,10/28vs. DEN,11/04vs. CLE,11/11vs. ARI,11/19vs. LAR,12/02vs. OAK,12/09vs. BAL,12/13vs. LAC,12/23vs. SEA,12/30vs. OAK,01/12vs. IND,01/20vs. NWE
Eric Berry,D,D,D,D,D,D,D,D,D,D,D,Q,Q,Q,,Q,Q,
Jordan Devey,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Step Durham,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Laurent Duvernay-Tardif,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alex Ellis,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Erving,,,,,,,,,,Q,,,,D,,,,
Dee Ford,,,,,Q,,,,,,,,,,,,,
Kendall Fuller,,,,,,,,,,,,,,,Q,Q,,
Dillon Gordon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demetrius Harris,,,,,,,,,,,,,Q,,,,,
Tyreek Hill,,,,,,,,,,,,,,Q,,,,
Anthony Hitchens,,,,,,,,,Q,Q,,,,,,,,
Justin Houston,,,,,,D,D,D,Q,Q,,,,,,,,
Akeem Hunt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tejan Koroma,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tanoh Kpassagnon,,,,,,Q,Q,,,,,,,,,,,
J.D. Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mitch Morse,,,,,,,O,O,O,O,O,,,,,,,
Eric Murray,,,,,,O,Q,,,,,,,,,,,
Ben Niemann,,O,D,,,,,,,,,,,,,,,
Dorian O'Daniel,,,,,,,,,,,,,,,,,D,O
Byron Pringle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keith Reaser,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrance Smith,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Sorensen,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,,,,
De'Anthony Thomas,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Spencer Ware,,,Q,,,,,,,,,,,D,D,Q,Q,
Sammy Watkins,,,,,Q,,,,,Q,Q,O,D,O,O,O,Q,
Armani Watts,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darrel Williams,,,,,,,,,,,,,,,,Q,,
Frank Zombo,,,,,,,,,O,Q,,,,,,,,
